reagent_type,top_k,accuracy
overall,1,0.05459770114942529
overall,2,0.09770114942528736
overall,3,0.14846743295019157
overall,4,0.18199233716475097
overall,5,0.20881226053639848
overall,6,0.23563218390804597
overall,7,0.26053639846743293
overall,8,0.2825670498084291
overall,9,0.2988505747126437
overall,10,0.3103448275862069
exact_solvent,1,0.08812260536398467
exact_solvent,2,0.2260536398467433
exact_solvent,3,0.2260536398467433
exact_solvent,4,0.27873563218390807
exact_solvent,5,0.27873563218390807
exact_solvent,6,0.3103448275862069
exact_solvent,7,0.36877394636015326
exact_solvent,8,0.36877394636015326
exact_solvent,9,0.4482758620689655
exact_solvent,10,0.48084291187739464
exact_base,1,0.41954022988505746
exact_base,2,0.5210727969348659
exact_base,3,0.7624521072796935
exact_base,4,0.7624521072796935
exact_base,5,0.7624521072796935
exact_base,6,0.7624521072796935
exact_base,7,0.7624521072796935
exact_base,8,0.7624521072796935
exact_base,9,0.7624521072796935
exact_base,10,0.7624521072796935
