reagent_type,top_k,accuracy
coarse_solvent,1,0.5124521072796935
coarse_solvent,2,0.7040229885057471
coarse_solvent,3,0.8342911877394636
coarse_solvent,4,0.9118773946360154
coarse_solvent,5,0.9779693486590039
coarse_solvent,6,0.9875478927203065
coarse_solvent,7,0.9913793103448276
coarse_solvent,8,0.9932950191570882
coarse_solvent,9,0.9952107279693486
coarse_solvent,10,0.9961685823754789
base,1,0.8524904214559387
base,2,0.8668582375478927
base,3,0.8706896551724138
base,4,0.8793103448275862
base,5,0.8869731800766284
base,6,0.9272030651340997
base,7,0.9540229885057471
base,8,0.9712643678160919
base,9,0.9770114942528736
base,10,0.9808429118773946
overall,1,0.446360153256705
overall,2,0.6235632183908046
overall,3,0.7327586206896551
overall,4,0.7998084291187739
overall,5,0.8639846743295019
overall,6,0.8888888888888888
overall,7,0.9042145593869731
overall,8,0.9224137931034483
overall,9,0.9348659003831418
overall,10,0.9415708812260536
