top_k,reagent_type,accuracy
1,exact_solvent,0.3438697318007663
2,exact_solvent,0.43773946360153254
3,exact_solvent,0.4837164750957854
4,exact_solvent,0.5220306513409961
5,exact_solvent,0.5440613026819924
6,exact_solvent,0.5727969348659003
7,exact_solvent,0.5909961685823755
8,exact_solvent,0.6111111111111112
9,exact_solvent,0.6273946360153256
10,exact_solvent,0.64272030651341
1,exact_base,0.5555555555555556
2,exact_base,0.6944444444444444
3,exact_base,0.7883141762452107
4,exact_base,0.8352490421455939
5,exact_base,0.8783524904214559
6,exact_base,0.896551724137931
7,exact_base,0.8984674329501916
8,exact_base,0.9013409961685823
9,exact_base,0.9013409961685823
10,exact_base,0.9013409961685823
