top_k,reagent_type,accuracy
1,fine_solvent,0.5047892720306514
2,fine_solvent,0.6542145593869731
3,fine_solvent,0.7432950191570882
4,fine_solvent,0.7863984674329502
5,fine_solvent,0.8314176245210728
6,fine_solvent,0.8601532567049809
7,fine_solvent,0.8879310344827587
8,fine_solvent,0.9051724137931034
9,fine_solvent,0.9166666666666666
10,fine_solvent,0.921455938697318
1,base,0.7691570881226054
2,base,0.8793103448275862
3,base,0.9128352490421456
4,base,0.9300766283524904
5,base,0.9377394636015326
6,base,0.9425287356321839
7,base,0.9492337164750958
8,base,0.9530651340996169
9,base,0.9588122605363985
10,base,0.9616858237547893
1,overall,0.43582375478927204
2,overall,0.5632183908045977
3,overall,0.6388888888888888
4,overall,0.6810344827586207
5,overall,0.7231800766283525
6,overall,0.7471264367816092
7,overall,0.7844827586206896
8,overall,0.8113026819923371
9,overall,0.8304597701149425
10,overall,0.8390804597701149
