top_k,reagent_type,accuracy
1,fine_solvent,0.5114942528735632
2,fine_solvent,0.64272030651341
3,fine_solvent,0.7059386973180076
4,fine_solvent,0.7614942528735632
5,fine_solvent,0.7998084291187739
6,fine_solvent,0.8295019157088123
7,fine_solvent,0.8505747126436781
8,fine_solvent,0.8860153256704981
9,fine_solvent,0.9109195402298851
10,fine_solvent,0.9224137931034483
1,base,0.7672413793103449
2,base,0.8764367816091954
3,base,0.9147509578544061
4,base,0.9204980842911877
5,base,0.9243295019157088
6,base,0.9300766283524904
7,base,0.9329501915708812
8,base,0.9406130268199234
9,base,0.9492337164750958
10,base,0.9511494252873564
1,overall,0.4425287356321839
2,overall,0.5526819923371648
3,overall,0.6024904214559387
4,overall,0.6503831417624522
5,overall,0.6772030651340997
6,overall,0.7193486590038314
7,overall,0.7423371647509579
8,overall,0.774904214559387
9,overall,0.7969348659003831
10,overall,0.8132183908045977
