top_k,reagent_type,accuracy
1,exact_solvent,0.36877394636015326
2,exact_solvent,0.460727969348659
3,exact_solvent,0.5172413793103449
4,exact_solvent,0.5450191570881227
5,exact_solvent,0.5670498084291188
6,exact_solvent,0.592911877394636
7,exact_solvent,0.6101532567049809
8,exact_solvent,0.632183908045977
9,exact_solvent,0.6522988505747126
10,exact_solvent,0.6647509578544061
1,exact_base,0.5574712643678161
2,exact_base,0.7078544061302682
3,exact_base,0.7873563218390804
4,exact_base,0.842911877394636
5,exact_base,0.8668582375478927
6,exact_base,0.8850574712643678
7,exact_base,0.8917624521072797
8,exact_base,0.8917624521072797
9,exact_base,0.8917624521072797
10,exact_base,0.8917624521072797
