reagent_type,top_k,accuracy
fine_solvent,1,0.501915693283081
fine_solvent,2,0.6781609058380127
fine_solvent,3,0.8045976758003235
fine_solvent,4,0.8649425506591797
fine_solvent,5,0.8994252681732178
fine_solvent,6,0.9185823798179626
fine_solvent,7,0.9396551847457886
fine_solvent,8,0.9578543901443481
fine_solvent,9,0.969348669052124
fine_solvent,10,0.9837164878845215
fine_solvent,11,0.9885057210922241
fine_solvent,12,0.9961685538291931
fine_solvent,13,1.0
base,1,0.8381226062774658
base,2,0.9329501986503601
base,3,0.9636015295982361
base,4,0.9779693484306335
base,5,0.9885057210922241
base,6,0.9961685538291931
base,7,1.0
