top_k,reagent_type,accuracy
1,fine_solvent,0.4674329501915709
2,fine_solvent,0.6455938697318008
3,fine_solvent,0.7432950191570882
4,fine_solvent,0.8122605363984674
5,fine_solvent,0.85727969348659
6,fine_solvent,0.8936781609195402
7,fine_solvent,0.9157088122605364
8,fine_solvent,0.935823754789272
9,fine_solvent,0.9501915708812261
10,fine_solvent,0.9530651340996169
1,base,0.7806513409961686
2,base,0.907088122605364
3,base,0.9530651340996169
4,base,0.9616858237547893
5,base,0.9636015325670498
6,base,0.9636015325670498
7,base,0.9636015325670498
8,base,0.9636015325670498
9,base,0.9636015325670498
10,base,0.9636015325670498
