reagent_type,top_k,accuracy
overall,1,0.4703065134099617
overall,2,0.6398467432950191
overall,3,0.7404214559386973
overall,4,0.814176245210728
overall,5,0.8591954022988506
overall,6,0.8802681992337165
overall,7,0.8994252873563219
overall,8,0.9090038314176245
overall,9,0.9243295019157088
overall,10,0.9300766283524904
coarse_solvent,1,0.5316091954022989
coarse_solvent,2,0.7059386973180076
coarse_solvent,3,0.8208812260536399
coarse_solvent,4,0.9032567049808429
coarse_solvent,5,0.9501915708812261
coarse_solvent,6,0.9722222222222222
coarse_solvent,7,0.9818007662835249
coarse_solvent,8,0.9846743295019157
coarse_solvent,9,0.9913793103448276
coarse_solvent,10,0.9942528735632183
base,1,0.85727969348659
base,2,0.8879310344827587
base,3,0.9042145593869731
base,4,0.9166666666666666
base,5,0.9252873563218391
base,6,0.9319923371647509
base,7,0.9501915708812261
base,8,0.9636015325670498
base,9,0.9722222222222222
base,10,0.975095785440613
