reagent_type,top_k,accuracy
fine_solvent,1,0.5321189
fine_solvent,2,0.71428573
fine_solvent,3,0.8187919
fine_solvent,4,0.87152445
fine_solvent,5,0.89645255
fine_solvent,6,0.9261745
fine_solvent,7,0.9434324
fine_solvent,8,0.95206136
fine_solvent,9,0.96356666
fine_solvent,10,0.9741131
fine_solvent,11,0.9837009
fine_solvent,12,0.9932886
fine_solvent,13,1.0
base,1,0.86193675
base,2,0.9348034
base,3,0.96356666
base,4,0.9846596
base,5,0.9904123
base,6,0.9961649
base,7,1.0
