reagent_type,top_k,accuracy
coarse_solvent,1,0.5105363984674329
coarse_solvent,2,0.710727969348659
coarse_solvent,3,0.8352490421455939
coarse_solvent,4,0.9157088122605364
coarse_solvent,5,0.9789272030651341
coarse_solvent,6,0.9894636015325671
coarse_solvent,7,0.9942528735632183
coarse_solvent,8,0.9961685823754789
coarse_solvent,9,0.9961685823754789
coarse_solvent,10,0.9961685823754789
base,1,0.8409961685823755
base,2,0.8630268199233716
base,3,0.8687739463601533
base,4,0.8773946360153256
base,5,0.8860153256704981
base,6,0.9252873563218391
base,7,0.946360153256705
base,8,0.9549808429118773
base,9,0.9655172413793104
base,10,0.9731800766283525
overall,1,0.43582375478927204
overall,2,0.6264367816091954
overall,3,0.7279693486590039
overall,4,0.7978927203065134
overall,5,0.8544061302681992
overall,6,0.8850574712643678
overall,7,0.9032567049808429
overall,8,0.921455938697318
overall,9,0.9300766283524904
overall,10,0.9367816091954023
