reagent_type,top_k,accuracy
overall,1,0.29022988505747127
overall,2,0.5114942528735632
overall,3,0.6168582375478927
overall,4,0.6542145593869731
overall,5,0.6848659003831418
overall,6,0.7164750957854407
overall,7,0.7547892720306514
overall,8,0.7844827586206896
overall,9,0.8055555555555556
overall,10,0.8275862068965517
fine_solvent,1,0.38984674329501917
fine_solvent,2,0.6350574712643678
fine_solvent,3,0.7691570881226054
fine_solvent,4,0.8074712643678161
fine_solvent,5,0.8074712643678161
fine_solvent,6,0.8438697318007663
fine_solvent,7,0.8438697318007663
fine_solvent,8,0.8754789272030651
fine_solvent,9,0.907088122605364
fine_solvent,10,0.907088122605364
base,1,0.8026819923371648
base,2,0.8026819923371648
base,3,0.8026819923371648
base,4,0.8026819923371648
base,5,0.8706896551724138
base,6,0.8706896551724138
base,7,0.9415708812260536
base,8,0.9415708812260536
base,9,0.9415708812260536
base,10,0.9779693486590039
