reagent_type,top_k,accuracy
overall,1,0.48659003831417624
overall,2,0.6283524904214559
overall,3,0.7183908045977011
overall,4,0.7509578544061303
overall,5,0.7796934865900383
overall,6,0.8074712643678161
overall,7,0.8304597701149425
overall,8,0.8486590038314177
overall,9,0.8630268199233716
overall,10,0.882183908045977
fine_solvent,1,0.5354406130268199
fine_solvent,2,0.6906130268199234
fine_solvent,3,0.7883141762452107
fine_solvent,4,0.8218390804597702
fine_solvent,5,0.8515325670498084
fine_solvent,6,0.8764367816091954
fine_solvent,7,0.8975095785440613
fine_solvent,8,0.9147509578544061
fine_solvent,9,0.9310344827586207
fine_solvent,10,0.9511494252873564
base,1,0.8668582375478927
base,2,0.8898467432950191
base,3,0.9061302681992337
base,4,0.9185823754789272
base,5,0.9291187739463601
base,6,0.9339080459770115
base,7,0.9367816091954023
base,8,0.9406130268199234
base,9,0.9454022988505747
base,10,0.9511494252873564
