reagent_type,top_k,accuracy
overall,1,0.38026819923371646
overall,2,0.5421455938697318
overall,3,0.64272030651341
overall,4,0.696360153256705
overall,5,0.7298850574712644
overall,6,0.7576628352490421
overall,7,0.7691570881226054
overall,8,0.789272030651341
overall,9,0.8045977011494253
overall,10,0.8218390804597702
fine_solvent,1,0.4434865900383142
fine_solvent,2,0.6254789272030651
fine_solvent,3,0.7337164750957854
fine_solvent,4,0.7825670498084292
fine_solvent,5,0.8113026819923371
fine_solvent,6,0.8381226053639846
fine_solvent,7,0.8515325670498084
fine_solvent,8,0.8716475095785441
fine_solvent,9,0.8898467432950191
fine_solvent,10,0.9042145593869731
base,1,0.8352490421455939
base,2,0.853448275862069
base,3,0.8754789272030651
base,4,0.896551724137931
base,5,0.9137931034482759
base,6,0.9224137931034483
base,7,0.9291187739463601
base,8,0.9386973180076629
base,9,0.9444444444444444
base,10,0.9530651340996169
