reagent_type,top_k,accuracy
overall,1,0.3611111111111111
overall,2,0.524904214559387
overall,3,0.6494252873563219
overall,4,0.7490421455938697
overall,5,0.8160919540229885
overall,6,0.8553639846743295
overall,7,0.8812260536398467
overall,8,0.8946360153256705
overall,9,0.9032567049808429
overall,10,0.9147509578544061
coarse_solvent,1,0.43103448275862066
coarse_solvent,2,0.6063218390804598
coarse_solvent,3,0.7480842911877394
coarse_solvent,4,0.8611111111111112
coarse_solvent,5,0.946360153256705
coarse_solvent,6,0.9722222222222222
coarse_solvent,7,0.9885057471264368
coarse_solvent,8,0.9923371647509579
coarse_solvent,9,0.9932950191570882
coarse_solvent,10,0.9961685823754789
base,1,0.8304597701149425
base,2,0.8515325670498084
base,3,0.85727969348659
base,4,0.8697318007662835
base,5,0.8745210727969349
base,6,0.9090038314176245
base,7,0.935823754789272
base,8,0.9501915708812261
base,9,0.9578544061302682
base,10,0.9636015325670498
