top_k,reagent_type,accuracy
1,fine_solvent,0.47701149425287354
2,fine_solvent,0.646551724137931
3,fine_solvent,0.7222222222222222
4,fine_solvent,0.7681992337164751
5,fine_solvent,0.8170498084291188
6,fine_solvent,0.8477011494252874
7,fine_solvent,0.8745210727969349
8,fine_solvent,0.8946360153256705
9,fine_solvent,0.9061302681992337
10,fine_solvent,0.9166666666666666
1,base,0.7873563218390804
2,base,0.8955938697318008
3,base,0.921455938697318
4,base,0.9329501915708812
5,base,0.9406130268199234
6,base,0.9425287356321839
7,base,0.9454022988505747
8,base,0.9530651340996169
9,base,0.9626436781609196
10,base,0.9683908045977011
1,overall,0.42432950191570884
2,overall,0.5622605363984674
3,overall,0.6226053639846744
4,overall,0.6685823754789272
5,overall,0.7174329501915708
6,overall,0.7586206896551724
7,overall,0.7825670498084292
8,overall,0.8132183908045977
9,overall,0.8256704980842912
10,overall,0.8342911877394636
