reagent_type,top_k,accuracy
fine_solvent,1,0.4281609
fine_solvent,2,0.6254789
fine_solvent,3,0.7624521
fine_solvent,4,0.8266283
fine_solvent,5,0.86206895
fine_solvent,6,0.8888889
fine_solvent,7,0.9118774
fine_solvent,8,0.93390805
fine_solvent,9,0.9511494
fine_solvent,10,0.967433
fine_solvent,11,0.9789272
fine_solvent,12,0.99233717
fine_solvent,13,1.0
base,1,0.8189655
base,2,0.8984674
base,3,0.9578544
base,4,0.97988504
base,5,0.9913793
base,6,0.99712646
base,7,1.0
