top_k,reagent_type,accuracy
1,fine_solvent,0.47651006711409394
2,fine_solvent,0.6356663470757431
3,fine_solvent,0.7344199424736337
4,fine_solvent,0.8044103547459253
5,fine_solvent,0.8581016299137104
6,fine_solvent,0.8887823585810163
7,fine_solvent,0.9060402684563759
8,fine_solvent,0.9204218600191755
9,fine_solvent,0.9232981783317353
10,fine_solvent,0.9232981783317353
1,base,0.7209971236816874
2,base,0.8926174496644296
3,base,0.9453499520613614
4,base,0.9702780441035475
5,base,0.9712368168744008
6,base,0.9721955896452541
7,base,0.9721955896452541
8,base,0.9721955896452541
9,base,0.9721955896452541
10,base,0.9721955896452541
