top_k,reagent_type,accuracy
1,coarse_solvent,0.5091083413231065
2,coarse_solvent,0.6653883029721956
3,coarse_solvent,0.7651006711409396
4,coarse_solvent,0.8235858101629914
5,coarse_solvent,0.8734419942473634
6,coarse_solvent,0.9108341323106424
7,coarse_solvent,0.9386385426653883
8,coarse_solvent,0.9616490891658677
9,coarse_solvent,0.975071907957814
10,coarse_solvent,0.9798657718120806
1,base,0.7545541706615532
2,base,0.8772770853307766
3,base,0.9156279961649089
4,base,0.9271332694151486
5,base,0.9376797698945349
6,base,0.9453499520613614
7,base,0.9568552253116012
8,base,0.9635666347075743
9,base,0.9683604985618408
10,base,0.9683604985618408
1,overall,0.4458293384467881
2,overall,0.5637583892617449
3,overall,0.6433365292425696
4,overall,0.7018216682646213
5,overall,0.7555129434324065
6,overall,0.8024928092042186
7,overall,0.8446788111217641
8,overall,0.87248322147651
9,overall,0.8916586768935763
10,overall,0.8993288590604027
