top_k,reagent_type,accuracy
1,coarse_solvent,0.5091083413231065
2,coarse_solvent,0.6797698945349953
3,coarse_solvent,0.7871524448705657
4,coarse_solvent,0.8791946308724832
5,coarse_solvent,0.950143815915628
6,coarse_solvent,0.9808245445829339
7,coarse_solvent,0.9808245445829339
8,coarse_solvent,0.9808245445829339
9,coarse_solvent,0.9808245445829339
10,coarse_solvent,0.9808245445829339
1,base,0.7545541706615532
2,base,0.8945349952061361
3,base,0.9463087248322147
4,base,0.965484180249281
5,base,0.9683604985618408
6,base,0.9683604985618408
7,base,0.9683604985618408
8,base,0.9683604985618408
9,base,0.9683604985618408
10,base,0.9683604985618408
