reagent_type,top_k,accuracy
coarse_solvent,1,0.5545977
coarse_solvent,2,0.73659
coarse_solvent,3,0.84386975
coarse_solvent,4,0.9396552
coarse_solvent,5,0.98659
coarse_solvent,6,1.0
base,1,0.87356323
base,2,0.94061303
base,3,0.9770115
base,4,0.9913793
base,5,0.99616855
base,6,0.9980843
base,7,1.0
