top_k,reagent_type,accuracy
1,fine_solvent,0.5306513409961686
2,fine_solvent,0.6781609195402298
3,fine_solvent,0.7681992337164751
4,fine_solvent,0.8266283524904214
5,fine_solvent,0.8620689655172413
6,fine_solvent,0.8946360153256705
7,fine_solvent,0.9204980842911877
8,fine_solvent,0.9319923371647509
9,fine_solvent,0.9339080459770115
10,fine_solvent,0.9339080459770115
1,base,0.7816091954022989
2,base,0.8975095785440613
3,base,0.9511494252873564
4,base,0.9664750957854407
5,base,0.9674329501915708
6,base,0.9674329501915708
7,base,0.9674329501915708
8,base,0.9674329501915708
9,base,0.9674329501915708
10,base,0.9674329501915708
