top_k,reagent_type,accuracy
1,coarse_solvent,0.5254074784276127
2,coarse_solvent,0.6663470757430489
3,coarse_solvent,0.7545541706615532
4,coarse_solvent,0.8341323106423778
5,coarse_solvent,0.8791946308724832
6,coarse_solvent,0.9242569511025887
7,coarse_solvent,0.9530201342281879
8,coarse_solvent,0.9760306807286673
9,coarse_solvent,0.9837008628954937
10,coarse_solvent,0.9846596356663471
1,base,0.7804410354745925
2,base,0.8964525407478428
3,base,0.9261744966442953
4,base,0.9367209971236817
5,base,0.9443911792905082
6,base,0.9568552253116012
7,base,0.9645254074784276
8,base,0.965484180249281
9,base,0.9674017257909875
10,base,0.9674017257909875
1,overall,0.46308724832214765
2,overall,0.5771812080536913
3,overall,0.6558005752636625
4,overall,0.7277085330776606
5,overall,0.7804410354745925
6,overall,0.825503355704698
7,overall,0.8676893576222435
8,overall,0.8926174496644296
9,overall,0.900287631831256
10,overall,0.9022051773729626
