top_k,reagent_type,accuracy
1,coarse_solvent,0.49137931034482757
2,coarse_solvent,0.6743295019157088
3,coarse_solvent,0.7557471264367817
4,coarse_solvent,0.8160919540229885
5,coarse_solvent,0.882183908045977
6,coarse_solvent,0.9262452107279694
7,coarse_solvent,0.9559386973180076
8,coarse_solvent,0.9703065134099617
9,coarse_solvent,0.9789272030651341
10,coarse_solvent,0.9818007662835249
1,base,0.7873563218390804
2,base,0.8955938697318008
3,base,0.921455938697318
4,base,0.935823754789272
5,base,0.9415708812260536
6,base,0.946360153256705
7,base,0.9578544061302682
8,base,0.9664750957854407
9,base,0.9712643678160919
10,base,0.9712643678160919
1,overall,0.43486590038314177
2,overall,0.5842911877394636
3,overall,0.6475095785440613
4,overall,0.7078544061302682
5,overall,0.7681992337164751
6,overall,0.8237547892720306
7,overall,0.8620689655172413
8,overall,0.8840996168582376
9,overall,0.8908045977011494
10,overall,0.8975095785440613
