top_k,reagent_type,accuracy
1,coarse_solvent,0.49137931034482757
2,coarse_solvent,0.6819923371647509
3,coarse_solvent,0.7854406130268199
4,coarse_solvent,0.8812260536398467
5,coarse_solvent,0.9626436781609196
6,coarse_solvent,0.9818007662835249
7,coarse_solvent,0.9818007662835249
8,coarse_solvent,0.9818007662835249
9,coarse_solvent,0.9818007662835249
10,coarse_solvent,0.9818007662835249
1,base,0.7873563218390804
2,base,0.9042145593869731
3,base,0.9559386973180076
4,base,0.9703065134099617
5,base,0.9712643678160919
6,base,0.9712643678160919
7,base,0.9712643678160919
8,base,0.9712643678160919
9,base,0.9712643678160919
10,base,0.9712643678160919
