top_k,reagent_type,accuracy
1,fine_solvent,0.4616858237547893
2,fine_solvent,0.632183908045977
3,fine_solvent,0.7203065134099617
4,fine_solvent,0.7854406130268199
5,fine_solvent,0.8362068965517241
6,fine_solvent,0.8649425287356322
7,fine_solvent,0.8908045977011494
8,fine_solvent,0.9051724137931034
9,fine_solvent,0.9195402298850575
10,fine_solvent,0.9243295019157088
1,base,0.7634099616858238
2,base,0.8783524904214559
3,base,0.9061302681992337
4,base,0.9109195402298851
5,base,0.9137931034482759
6,base,0.9224137931034483
7,base,0.9291187739463601
8,base,0.9367816091954023
9,base,0.9415708812260536
10,base,0.9492337164750958
1,overall,0.40900383141762453
2,overall,0.5402298850574713
3,overall,0.6053639846743295
4,overall,0.6599616858237548
5,overall,0.7030651340996169
6,overall,0.7442528735632183
7,overall,0.7796934865900383
8,overall,0.8065134099616859
9,overall,0.8237547892720306
10,overall,0.8362068965517241
