reagent_type,top_k,accuracy
coarse_solvent,1,0.38984674329501917
coarse_solvent,2,0.6360153256704981
coarse_solvent,3,0.7701149425287356
coarse_solvent,4,0.8908045977011494
coarse_solvent,5,0.9837164750957854
coarse_solvent,6,1.0
base,1,0.7940613026819924
base,2,0.8745210727969349
base,3,0.9444444444444444
base,4,0.9741379310344828
base,5,0.9846743295019157
base,6,0.9961685823754789
base,7,1.0
