reagent_type,top_k,accuracy
overall,1,0.38697318007662834
overall,2,0.5526819923371648
overall,3,0.6561302681992337
overall,4,0.7068965517241379
overall,5,0.7547892720306514
overall,6,0.7902298850574713
overall,7,0.8170498084291188
overall,8,0.842911877394636
overall,9,0.8582375478927203
overall,10,0.8735632183908046
fine_solvent,1,0.4521072796934866
fine_solvent,2,0.6273946360153256
fine_solvent,3,0.7423371647509579
fine_solvent,4,0.7931034482758621
fine_solvent,5,0.8381226053639846
fine_solvent,6,0.8639846743295019
fine_solvent,7,0.8840996168582376
fine_solvent,8,0.9061302681992337
fine_solvent,9,0.9224137931034483
fine_solvent,10,0.9367816091954023
base,1,0.8314176245210728
base,2,0.8649425287356322
base,3,0.8917624521072797
base,4,0.9128352490421456
base,5,0.9243295019157088
base,6,0.935823754789272
base,7,0.9482758620689655
base,8,0.9578544061302682
base,9,0.9616858237547893
base,10,0.9636015325670498
