top_k,reagent_type,accuracy
1,exact_solvent,0.3620689655172414
2,exact_solvent,0.44157088122605365
3,exact_solvent,0.4904214559386973
4,exact_solvent,0.5124521072796935
5,exact_solvent,0.5316091954022989
6,exact_solvent,0.5593869731800766
7,exact_solvent,0.5756704980842912
8,exact_solvent,0.5900383141762452
9,exact_solvent,0.6044061302681992
10,exact_solvent,0.6197318007662835
1,exact_base,0.5718390804597702
2,exact_base,0.6954022988505747
3,exact_base,0.7528735632183908
4,exact_base,0.7921455938697318
5,exact_base,0.8247126436781609
6,exact_base,0.8477011494252874
7,exact_base,0.8611111111111112
8,exact_base,0.8649425287356322
9,exact_base,0.8764367816091954
10,exact_base,0.882183908045977
1,overall,0.32375478927203066
2,overall,0.38984674329501917
3,overall,0.42432950191570884
4,overall,0.4386973180076628
5,overall,0.44731800766283525
6,overall,0.46839080459770116
7,overall,0.4779693486590038
8,overall,0.4837164750957854
9,overall,0.4952107279693487
10,overall,0.5057471264367817
