top_k,reagent_type,accuracy
1,coarse_solvent,0.4966442953020134
2,coarse_solvent,0.6749760306807286
3,coarse_solvent,0.7919463087248322
4,coarse_solvent,0.8801534036433365
5,coarse_solvent,0.9511025886864813
6,coarse_solvent,0.9904122722914669
7,coarse_solvent,0.9904122722914669
8,coarse_solvent,0.9904122722914669
9,coarse_solvent,0.9904122722914669
10,coarse_solvent,0.9904122722914669
1,base,0.7209971236816874
2,base,0.8926174496644296
3,base,0.9453499520613614
4,base,0.9702780441035475
5,base,0.9712368168744008
6,base,0.9721955896452541
7,base,0.9721955896452541
8,base,0.9721955896452541
9,base,0.9721955896452541
10,base,0.9721955896452541
