top_k,reagent_type,accuracy
1,coarse_solvent,0.4966442953020134
2,coarse_solvent,0.6538830297219559
3,coarse_solvent,0.7372962607861937
4,coarse_solvent,0.8159156279961649
5,coarse_solvent,0.87248322147651
6,coarse_solvent,0.9185043144774688
7,coarse_solvent,0.9520613614573347
8,coarse_solvent,0.9693192713326941
9,coarse_solvent,0.9837008628954937
10,coarse_solvent,0.987535953978907
1,base,0.7209971236816874
2,base,0.8849472674976031
3,base,0.9137104506232023
4,base,0.9290508149568553
5,base,0.9357622243528284
6,base,0.947267497603068
7,base,0.9568552253116012
8,base,0.9645254074784276
9,base,0.9674017257909875
10,base,0.9712368168744008
1,overall,0.4276126558005753
2,overall,0.5627996164908916
3,overall,0.6423777564717162
4,overall,0.7066155321188878
5,overall,0.7679769894534996
6,overall,0.8101629913710451
7,overall,0.8360498561840843
8,overall,0.8638542665388304
9,overall,0.8849472674976031
10,overall,0.8954937679769894
