reagent_type,top_k,accuracy
fine_solvent,1,0.5210727969348659
fine_solvent,2,0.7078544061302682
fine_solvent,3,0.8208812260536399
fine_solvent,4,0.8773946360153256
fine_solvent,5,0.8994252873563219
fine_solvent,6,0.9166666666666666
fine_solvent,7,0.9377394636015326
fine_solvent,8,0.9568965517241379
fine_solvent,9,0.9664750957854407
fine_solvent,10,0.9789272030651341
fine_solvent,11,0.9865900383141762
fine_solvent,12,0.9942528735632183
fine_solvent,13,1.0
base,1,0.8419540229885057
base,2,0.9329501915708812
base,3,0.9722222222222222
base,4,0.9865900383141762
base,5,0.9942528735632183
base,6,0.9952107279693486
base,7,1.0
