reagent_type,top_k,accuracy
overall,1,0.04885057471264368
overall,2,0.09770114942528736
overall,3,0.14942528735632185
overall,4,0.18199233716475097
overall,5,0.2049808429118774
overall,6,0.23180076628352492
overall,7,0.2442528735632184
overall,8,0.2710727969348659
overall,9,0.28065134099616856
overall,10,0.2950191570881226
exact_solvent,1,0.07854406130268199
exact_solvent,2,0.2260536398467433
exact_solvent,3,0.2260536398467433
exact_solvent,4,0.29118773946360155
exact_solvent,5,0.32567049808429116
exact_solvent,6,0.32567049808429116
exact_solvent,7,0.32567049808429116
exact_solvent,8,0.3850574712643678
exact_solvent,9,0.4521072796934866
exact_solvent,10,0.4875478927203065
exact_base,1,0.3888888888888889
exact_base,2,0.5028735632183908
exact_base,3,0.7337164750957854
exact_base,4,0.7337164750957854
exact_base,5,0.7337164750957854
exact_base,6,0.7337164750957854
exact_base,7,0.7337164750957854
exact_base,8,0.7337164750957854
exact_base,9,0.7337164750957854
exact_base,10,0.7337164750957854
