reagent_type,top_k,accuracy
fine_solvent,1,0.48801534036433364
fine_solvent,2,0.6788111217641419
fine_solvent,3,0.8092042186001918
fine_solvent,4,0.8533077660594439
fine_solvent,5,0.8772770853307766
fine_solvent,6,0.8887823585810163
fine_solvent,7,0.9050814956855225
fine_solvent,8,0.9146692233940557
fine_solvent,9,0.9261744966442953
fine_solvent,10,0.9424736337488016
base,1,0.8370086289549377
base,2,0.8542665388302972
base,3,0.8609779482262704
base,4,0.8993288590604027
base,5,0.9185043144774688
base,6,0.9242569511025887
base,7,0.9309683604985618
base,8,0.9386385426653883
base,9,0.9443911792905082
base,10,0.9491850431447747
overall,1,0.40651965484180247
overall,2,0.5829338446788112
overall,3,0.6960690316395014
overall,4,0.7603068072866731
overall,5,0.7948226270373921
overall,6,0.8111217641418984
overall,7,0.8331735378715245
overall,8,0.8475551294343241
overall,9,0.862895493767977
overall,10,0.8801534036433365
