top_k,reagent_type,accuracy
1,coarse_solvent,0.49808429118773945
2,coarse_solvent,0.6772030651340997
3,coarse_solvent,0.7691570881226054
4,coarse_solvent,0.8247126436781609
5,coarse_solvent,0.8659003831417624
6,coarse_solvent,0.9080459770114943
7,coarse_solvent,0.9415708812260536
8,coarse_solvent,0.9693486590038314
9,coarse_solvent,0.9808429118773946
10,coarse_solvent,0.9837164750957854
1,base,0.7835249042145593
2,base,0.8793103448275862
3,base,0.9157088122605364
4,base,0.9272030651340997
5,base,0.9339080459770115
6,base,0.9415708812260536
7,base,0.9511494252873564
8,base,0.9588122605363985
9,base,0.9626436781609196
10,base,0.9636015325670498
1,overall,0.4444444444444444
2,overall,0.5775862068965517
3,overall,0.6532567049808429
4,overall,0.6992337164750958
5,overall,0.7471264367816092
6,overall,0.7921455938697318
7,overall,0.8266283524904214
8,overall,0.8601532567049809
9,overall,0.8754789272030651
10,overall,0.8831417624521073
