top_k,reagent_type,accuracy
1,exact_solvent,0.3706896551724138
2,exact_solvent,0.4559386973180077
3,exact_solvent,0.4885057471264368
4,exact_solvent,0.5181992337164751
5,exact_solvent,0.5373563218390804
6,exact_solvent,0.5622605363984674
7,exact_solvent,0.578544061302682
8,exact_solvent,0.5938697318007663
9,exact_solvent,0.6111111111111112
10,exact_solvent,0.6197318007662835
1,exact_base,0.5565134099616859
2,exact_base,0.6743295019157088
3,exact_base,0.7385057471264368
4,exact_base,0.7777777777777778
5,exact_base,0.8065134099616859
6,exact_base,0.8266283524904214
7,exact_base,0.8371647509578544
8,exact_base,0.8419540229885057
9,exact_base,0.8544061302681992
10,exact_base,0.8649425287356322
1,overall,0.33045977011494254
2,overall,0.3994252873563218
3,overall,0.4224137931034483
4,overall,0.4444444444444444
5,overall,0.4549808429118774
6,overall,0.46551724137931033
7,overall,0.47126436781609193
8,overall,0.4789272030651341
9,overall,0.49137931034482757
10,overall,0.5009578544061303
