reagent_type,top_k,accuracy
coarse_solvent,1,0.5340364333652924
coarse_solvent,2,0.7209971236816874
coarse_solvent,3,0.8456375838926175
coarse_solvent,4,0.9242569511025887
coarse_solvent,5,0.975071907957814
coarse_solvent,6,0.9894534995206136
coarse_solvent,7,0.9942473633748802
coarse_solvent,8,0.9980824544582934
coarse_solvent,9,0.9990412272291467
coarse_solvent,10,0.9990412272291467
base,1,0.8475551294343241
base,2,0.8571428571428571
base,3,0.8638542665388304
base,4,0.8715244487056567
base,5,0.8868648130393096
base,6,0.9204218600191755
base,7,0.9424736337488016
base,8,0.9558964525407478
base,9,0.9635666347075743
base,10,0.9712368168744008
overall,1,0.46021093000958774
overall,2,0.6251198465963567
overall,3,0.7334611697027804
overall,4,0.8063279002876318
overall,5,0.8561840843720039
overall,6,0.8897411313518696
overall,7,0.9060402684563759
overall,8,0.9165867689357622
overall,9,0.9242569511025887
overall,10,0.9290508149568553
