top_k,reagent_type,accuracy
1,exact_solvent,0.35091083413231067
2,exact_solvent,0.43720038350910834
3,exact_solvent,0.47651006711409394
4,exact_solvent,0.5081495685522531
5,exact_solvent,0.5397890699904123
6,exact_solvent,0.5570469798657718
7,exact_solvent,0.5790987535953979
8,exact_solvent,0.5934803451581975
9,exact_solvent,0.6097794822627037
10,exact_solvent,0.6222435282837967
1,exact_base,0.5302013422818792
2,exact_base,0.6788111217641419
3,exact_base,0.7334611697027804
4,exact_base,0.7794822627037392
5,exact_base,0.8092042186001918
6,exact_base,0.8302972195589645
7,exact_base,0.8465963566634708
8,exact_base,0.8571428571428571
9,exact_base,0.8638542665388304
10,exact_base,0.87823585810163
1,overall,0.3077660594439118
2,overall,0.37775647171620325
3,overall,0.411313518696069
4,overall,0.4343240651965484
5,overall,0.4506232023010546
6,overall,0.4650047938638543
7,overall,0.4793863854266539
8,overall,0.48322147651006714
9,overall,0.48897411313518696
10,overall,0.49856184084372
