top_k,reagent_type,accuracy
1,exact_solvent,0.3544061302681992
2,exact_solvent,0.43486590038314177
3,exact_solvent,0.4760536398467433
4,exact_solvent,0.5162835249042146
5,exact_solvent,0.5411877394636015
6,exact_solvent,0.5574712643678161
7,exact_solvent,0.5804597701149425
8,exact_solvent,0.5996168582375478
9,exact_solvent,0.6216475095785441
10,exact_solvent,0.6369731800766284
1,exact_base,0.5814176245210728
2,exact_base,0.7174329501915708
3,exact_base,0.7701149425287356
4,exact_base,0.8055555555555556
5,exact_base,0.828544061302682
6,exact_base,0.8400383141762452
7,exact_base,0.8563218390804598
8,exact_base,0.8706896551724138
9,exact_base,0.8745210727969349
10,exact_base,0.8860153256704981
1,overall,0.32375478927203066
2,overall,0.4013409961685824
3,overall,0.42911877394636017
4,overall,0.45881226053639845
5,overall,0.4731800766283525
6,overall,0.4818007662835249
7,overall,0.49616858237547895
8,overall,0.5067049808429118
9,overall,0.5124521072796935
10,overall,0.5162835249042146
