top_k,reagent_type,accuracy
1,fine_solvent,0.5081495685522531
2,fine_solvent,0.6347075743048898
3,fine_solvent,0.7142857142857143
4,fine_solvent,0.7775647171620326
5,fine_solvent,0.822627037392138
6,fine_solvent,0.8494726749760306
7,fine_solvent,0.8744007670182167
8,fine_solvent,0.8935762224352828
9,fine_solvent,0.9069990412272292
10,fine_solvent,0.9309683604985618
1,base,0.7804410354745925
2,base,0.8964525407478428
3,base,0.9261744966442953
4,base,0.9367209971236817
5,base,0.9434324065196549
6,base,0.950143815915628
7,base,0.9549376797698945
8,base,0.9578139980824545
9,base,0.962607861936721
10,base,0.965484180249281
1,overall,0.4467881112176414
2,overall,0.5532118887823586
3,overall,0.6251198465963567
4,overall,0.6864813039309684
5,overall,0.7277085330776606
6,overall,0.7603068072866731
7,overall,0.7890699904122723
8,overall,0.8139980824544583
9,overall,0.8331735378715245
10,overall,0.8552253116011506
