top_k,reagent_type,accuracy
1,coarse_solvent,0.5076628352490421
2,coarse_solvent,0.6819923371647509
3,coarse_solvent,0.7710727969348659
4,coarse_solvent,0.8409961685823755
5,coarse_solvent,0.8946360153256705
6,coarse_solvent,0.9406130268199234
7,coarse_solvent,0.9636015325670498
8,coarse_solvent,0.9741379310344828
9,coarse_solvent,0.9770114942528736
10,coarse_solvent,0.9770114942528736
1,base,0.7691570881226054
2,base,0.8879310344827587
3,base,0.921455938697318
4,base,0.9339080459770115
5,base,0.9454022988505747
6,base,0.9559386973180076
7,base,0.9626436781609196
8,base,0.9683908045977011
9,base,0.9712643678160919
10,base,0.9712643678160919
1,overall,0.45306513409961685
2,overall,0.5948275862068966
3,overall,0.6647509578544061
4,overall,0.7231800766283525
5,overall,0.7787356321839081
6,overall,0.8333333333333334
7,overall,0.8697318007662835
8,overall,0.89272030651341
9,overall,0.8984674329501916
10,overall,0.8994252873563219
