reagent_type,top_k,accuracy
overall,1,0.34674329501915707
overall,2,0.5287356321839081
overall,3,0.6408045977011494
overall,4,0.6896551724137931
overall,5,0.7279693486590039
overall,6,0.7519157088122606
overall,7,0.7758620689655172
overall,8,0.7978927203065134
overall,9,0.8084291187739464
overall,10,0.8237547892720306
fine_solvent,1,0.3994252873563218
fine_solvent,2,0.6168582375478927
fine_solvent,3,0.7365900383141762
fine_solvent,4,0.7854406130268199
fine_solvent,5,0.8218390804597702
fine_solvent,6,0.8438697318007663
fine_solvent,7,0.8591954022988506
fine_solvent,8,0.8783524904214559
fine_solvent,9,0.8860153256704981
fine_solvent,10,0.8946360153256705
base,1,0.8515325670498084
base,2,0.85727969348659
base,3,0.8687739463601533
base,4,0.8850574712643678
base,5,0.8975095785440613
base,6,0.907088122605364
base,7,0.9300766283524904
base,8,0.9454022988505747
base,9,0.9492337164750958
base,10,0.9540229885057471
