top_k,reagent_type,accuracy
1,fine_solvent,0.4885057471264368
2,fine_solvent,0.6379310344827587
3,fine_solvent,0.7260536398467433
4,fine_solvent,0.7940613026819924
5,fine_solvent,0.8467432950191571
6,fine_solvent,0.8860153256704981
7,fine_solvent,0.9176245210727969
8,fine_solvent,0.9377394636015326
9,fine_solvent,0.9434865900383141
10,fine_solvent,0.9434865900383141
1,base,0.7691570881226054
2,base,0.8975095785440613
3,base,0.9396551724137931
4,base,0.9540229885057471
5,base,0.9540229885057471
6,base,0.9540229885057471
7,base,0.9540229885057471
8,base,0.9540229885057471
9,base,0.9540229885057471
10,base,0.9540229885057471
