top_k,reagent_type,accuracy
1,exact_solvent,0.36398467432950193
2,exact_solvent,0.4434865900383142
3,exact_solvent,0.48659003831417624
4,exact_solvent,0.514367816091954
5,exact_solvent,0.539272030651341
6,exact_solvent,0.5584291187739464
7,exact_solvent,0.5766283524904214
8,exact_solvent,0.5890804597701149
9,exact_solvent,0.6005747126436781
10,exact_solvent,0.6168582375478927
1,exact_base,0.5603448275862069
2,exact_base,0.7040229885057471
3,exact_base,0.7854406130268199
4,exact_base,0.842911877394636
5,exact_base,0.8840996168582376
6,exact_base,0.8975095785440613
7,exact_base,0.9013409961685823
8,exact_base,0.9022988505747126
9,exact_base,0.9032567049808429
10,exact_base,0.9032567049808429
