reagent_type,top_k,accuracy
overall,1,0.3735632183908046
overall,2,0.524904214559387
overall,3,0.6197318007662835
overall,4,0.6609195402298851
overall,5,0.7049808429118773
overall,6,0.7337164750957854
overall,7,0.7624521072796935
overall,8,0.7873563218390804
overall,9,0.8103448275862069
overall,10,0.8314176245210728
fine_solvent,1,0.4454022988505747
fine_solvent,2,0.6254789272030651
fine_solvent,3,0.7279693486590039
fine_solvent,4,0.7701149425287356
fine_solvent,5,0.8045977011494253
fine_solvent,6,0.8314176245210728
fine_solvent,7,0.8515325670498084
fine_solvent,8,0.8735632183908046
fine_solvent,9,0.8898467432950191
fine_solvent,10,0.9003831417624522
base,1,0.8323754789272031
base,2,0.8381226053639846
base,3,0.85727969348659
base,4,0.8773946360153256
base,5,0.9032567049808429
base,6,0.9176245210727969
base,7,0.9319923371647509
base,8,0.9367816091954023
base,9,0.946360153256705
base,10,0.9559386973180076
