top_k,reagent_type,accuracy
1,exact_solvent,0.3544061302681992
2,exact_solvent,0.44157088122605365
3,exact_solvent,0.4837164750957854
4,exact_solvent,0.5076628352490421
5,exact_solvent,0.5287356321839081
6,exact_solvent,0.553639846743295
7,exact_solvent,0.5680076628352491
8,exact_solvent,0.5823754789272031
9,exact_solvent,0.5890804597701149
10,exact_solvent,0.6005747126436781
1,exact_base,0.5775862068965517
2,exact_base,0.6982758620689655
3,exact_base,0.764367816091954
4,exact_base,0.7940613026819924
5,exact_base,0.8208812260536399
6,exact_base,0.8409961685823755
7,exact_base,0.853448275862069
8,exact_base,0.8611111111111112
9,exact_base,0.8706896551724138
10,exact_base,0.8802681992337165
1,overall,0.31992337164750956
2,overall,0.38984674329501917
3,overall,0.42049808429118773
4,overall,0.43773946360153254
5,overall,0.4521072796934866
6,overall,0.46934865900383144
7,overall,0.47701149425287354
8,overall,0.4837164750957854
9,overall,0.4885057471264368
10,overall,0.4990421455938697
