reagent_type,top_k,accuracy
fine_solvent,1,0.4789272030651341
fine_solvent,2,0.6896551724137931
fine_solvent,3,0.8151340996168582
fine_solvent,4,0.8745210727969349
fine_solvent,5,0.9013409961685823
fine_solvent,6,0.9281609195402298
fine_solvent,7,0.9444444444444444
fine_solvent,8,0.9549808429118773
fine_solvent,9,0.9616858237547893
fine_solvent,10,0.9798850574712644
fine_solvent,11,0.9885057471264368
fine_solvent,12,0.9932950191570882
fine_solvent,13,1.0
base,1,0.8352490421455939
base,2,0.9319923371647509
base,3,0.9626436781609196
base,4,0.9875478927203065
base,5,0.9923371647509579
base,6,0.9961685823754789
base,7,1.0
