top_k,reagent_type,accuracy
1,exact_solvent,0.3524904214559387
2,exact_solvent,0.43582375478927204
3,exact_solvent,0.4846743295019157
4,exact_solvent,0.514367816091954
5,exact_solvent,0.553639846743295
6,exact_solvent,0.5708812260536399
7,exact_solvent,0.5862068965517241
8,exact_solvent,0.6015325670498084
9,exact_solvent,0.6245210727969349
10,exact_solvent,0.6494252873563219
1,exact_base,0.5593869731800766
2,exact_base,0.7040229885057471
3,exact_base,0.7883141762452107
4,exact_base,0.8477011494252874
5,exact_base,0.8917624521072797
6,exact_base,0.9013409961685823
7,exact_base,0.907088122605364
8,exact_base,0.9109195402298851
9,exact_base,0.9109195402298851
10,exact_base,0.9109195402298851
