top_k,reagent_type,accuracy
1,fine_solvent,0.4827586206896552
2,fine_solvent,0.6484674329501916
3,fine_solvent,0.7385057471264368
4,fine_solvent,0.7911877394636015
5,fine_solvent,0.8448275862068966
6,fine_solvent,0.8850574712643678
7,fine_solvent,0.9166666666666666
8,fine_solvent,0.9243295019157088
9,fine_solvent,0.9425287356321839
10,fine_solvent,0.946360153256705
1,base,0.7835249042145593
2,base,0.8946360153256705
3,base,0.9434865900383141
4,base,0.9655172413793104
5,base,0.9655172413793104
6,base,0.9655172413793104
7,base,0.9655172413793104
8,base,0.9655172413793104
9,base,0.9655172413793104
10,base,0.9655172413793104
