top_k,reagent_type,accuracy
1,exact_solvent,0.3620689655172414
2,exact_solvent,0.45881226053639845
3,exact_solvent,0.5076628352490421
4,exact_solvent,0.5268199233716475
5,exact_solvent,0.5526819923371648
6,exact_solvent,0.5718390804597702
7,exact_solvent,0.5919540229885057
8,exact_solvent,0.60727969348659
9,exact_solvent,0.6245210727969349
10,exact_solvent,0.632183908045977
1,exact_base,0.5708812260536399
2,exact_base,0.6944444444444444
3,exact_base,0.7528735632183908
4,exact_base,0.7988505747126436
5,exact_base,0.8199233716475096
6,exact_base,0.8323754789272031
7,exact_base,0.8505747126436781
8,exact_base,0.8668582375478927
9,exact_base,0.8764367816091954
10,exact_base,0.882183908045977
1,overall,0.3132183908045977
2,overall,0.3879310344827586
3,overall,0.43007662835249044
4,overall,0.446360153256705
5,overall,0.4578544061302682
6,overall,0.46934865900383144
7,overall,0.47988505747126436
8,overall,0.4885057471264368
9,overall,0.4990421455938697
10,overall,0.5076628352490421
