top_k,reagent_type,accuracy
1,fine_solvent,0.48946360153256707
2,fine_solvent,0.657088122605364
3,fine_solvent,0.7442528735632183
4,fine_solvent,0.814176245210728
5,fine_solvent,0.8524904214559387
6,fine_solvent,0.8879310344827587
7,fine_solvent,0.9128352490421456
8,fine_solvent,0.9319923371647509
9,fine_solvent,0.9339080459770115
10,fine_solvent,0.9339080459770115
1,base,0.7691570881226054
2,base,0.8994252873563219
3,base,0.9530651340996169
4,base,0.9712643678160919
5,base,0.9712643678160919
6,base,0.9712643678160919
7,base,0.9712643678160919
8,base,0.9712643678160919
9,base,0.9712643678160919
10,base,0.9712643678160919
