reagent_type,top_k,accuracy
fine_solvent,1,0.5239463601532567
fine_solvent,2,0.7001915708812261
fine_solvent,3,0.8065134099616859
fine_solvent,4,0.8524904214559387
fine_solvent,5,0.8773946360153256
fine_solvent,6,0.8984674329501916
fine_solvent,7,0.9157088122605364
fine_solvent,8,0.9319923371647509
fine_solvent,9,0.946360153256705
fine_solvent,10,0.9588122605363985
base,1,0.8333333333333334
base,2,0.8601532567049809
base,3,0.8716475095785441
base,4,0.8812260536398467
base,5,0.896551724137931
base,6,0.9032567049808429
base,7,0.9128352490421456
base,8,0.9176245210727969
base,9,0.9224137931034483
base,10,0.9272030651340997
overall,1,0.4521072796934866
overall,2,0.6264367816091954
overall,3,0.7145593869731801
overall,4,0.7538314176245211
overall,5,0.7806513409961686
overall,6,0.8007662835249042
overall,7,0.8170498084291188
overall,8,0.8342911877394636
overall,9,0.8477011494252874
overall,10,0.8591954022988506
