reagent_type,top_k,accuracy
overall,1,0.5148609779482263
overall,2,0.6433365292425696
overall,3,0.7325023969319271
overall,4,0.775647171620326
overall,5,0.8082454458293384
overall,6,0.8341323106423778
overall,7,0.8513902205177373
overall,8,0.87248322147651
overall,9,0.8916586768935763
overall,10,0.8974113135186961
fine_solvent,1,0.5704697986577181
fine_solvent,2,0.7018216682646213
fine_solvent,3,0.7986577181208053
fine_solvent,4,0.8418024928092043
fine_solvent,5,0.87535953978907
fine_solvent,6,0.8993288590604027
fine_solvent,7,0.9194630872483222
fine_solvent,8,0.9395973154362416
fine_solvent,9,0.9549376797698945
fine_solvent,10,0.959731543624161
base,1,0.8648130393096836
base,2,0.8916586768935763
base,3,0.912751677852349
base,4,0.9213806327900288
base,5,0.9300095877277086
base,6,0.9357622243528284
base,7,0.9395973154362416
base,8,0.9443911792905082
base,9,0.9511025886864813
base,10,0.9530201342281879
