top_k,reagent_type,accuracy
1,exact_solvent,0.36590038314176243
2,exact_solvent,0.4559386973180077
3,exact_solvent,0.5
4,exact_solvent,0.524904214559387
5,exact_solvent,0.5526819923371648
6,exact_solvent,0.5833333333333334
7,exact_solvent,0.6111111111111112
8,exact_solvent,0.6273946360153256
9,exact_solvent,0.6446360153256705
10,exact_solvent,0.6532567049808429
1,exact_base,0.5747126436781609
2,exact_base,0.7183908045977011
3,exact_base,0.7950191570881227
4,exact_base,0.8486590038314177
5,exact_base,0.8860153256704981
6,exact_base,0.8975095785440613
7,exact_base,0.9032567049808429
8,exact_base,0.9032567049808429
9,exact_base,0.9032567049808429
10,exact_base,0.9032567049808429
