top_k,reagent_type,accuracy
1,exact_solvent,0.3726053639846743
2,exact_solvent,0.47413793103448276
3,exact_solvent,0.5220306513409961
4,exact_solvent,0.5411877394636015
5,exact_solvent,0.5632183908045977
6,exact_solvent,0.5804597701149425
7,exact_solvent,0.5871647509578544
8,exact_solvent,0.603448275862069
9,exact_solvent,0.6235632183908046
10,exact_solvent,0.6417624521072797
1,exact_base,0.5842911877394636
2,exact_base,0.7231800766283525
3,exact_base,0.8026819923371648
4,exact_base,0.8620689655172413
5,exact_base,0.89272030651341
6,exact_base,0.9137931034482759
7,exact_base,0.9195402298850575
8,exact_base,0.9195402298850575
9,exact_base,0.9195402298850575
10,exact_base,0.9195402298850575
