top_k,reagent_type,accuracy
1,exact_solvent,0.3825503355704698
2,exact_solvent,0.4678811121764142
3,exact_solvent,0.5023969319271333
4,exact_solvent,0.5244487056567594
5,exact_solvent,0.5503355704697986
6,exact_solvent,0.5666347075743049
7,exact_solvent,0.5790987535953979
8,exact_solvent,0.5877277085330777
9,exact_solvent,0.6021093000958773
10,exact_solvent,0.6116970278044104
1,exact_base,0.585810162991371
2,exact_base,0.6922339405560882
3,exact_base,0.7583892617449665
4,exact_base,0.7948226270373921
5,exact_base,0.8072866730584851
6,exact_base,0.8187919463087249
7,exact_base,0.840843720038351
8,exact_base,0.8571428571428571
9,exact_base,0.8648130393096836
10,exact_base,0.8772770853307766
1,overall,0.33940556088207097
2,overall,0.40651965484180247
3,overall,0.44007670182166825
4,overall,0.4573346116970278
5,overall,0.47746883988494726
6,overall,0.4928092042186002
7,overall,0.5023969319271333
8,overall,0.5062320230105465
9,overall,0.513902205177373
10,overall,0.5215723873441994
