top_k,reagent_type,accuracy
1,coarse_solvent,0.5124521072796935
2,coarse_solvent,0.6647509578544061
3,coarse_solvent,0.7614942528735632
4,coarse_solvent,0.8611111111111112
5,coarse_solvent,0.9310344827586207
6,coarse_solvent,0.9655172413793104
7,coarse_solvent,0.9827586206896551
8,coarse_solvent,0.9865900383141762
9,coarse_solvent,0.9875478927203065
10,coarse_solvent,0.9875478927203065
1,base,0.8275862068965517
2,base,0.8936781609195402
3,base,0.9157088122605364
4,base,0.9243295019157088
5,base,0.9310344827586207
6,base,0.9444444444444444
7,base,0.9530651340996169
8,base,0.9568965517241379
9,base,0.9588122605363985
10,base,0.9588122605363985
1,overall,0.460727969348659
2,overall,0.5852490421455939
3,overall,0.6762452107279694
4,overall,0.7509578544061303
5,overall,0.814176245210728
6,overall,0.8496168582375478
7,overall,0.8773946360153256
8,overall,0.8898467432950191
9,overall,0.8955938697318008
10,overall,0.896551724137931
