reagent_type,top_k,accuracy
fine_solvent,1,0.5019157088122606
fine_solvent,2,0.6934865900383141
fine_solvent,3,0.8074712643678161
fine_solvent,4,0.8649425287356322
fine_solvent,5,0.8946360153256705
fine_solvent,6,0.9128352490421456
fine_solvent,7,0.9396551724137931
fine_solvent,8,0.9521072796934866
fine_solvent,9,0.9703065134099617
fine_solvent,10,0.9770114942528736
fine_solvent,11,0.9894636015325671
fine_solvent,12,0.9961685823754789
fine_solvent,13,1.0
base,1,0.853448275862069
base,2,0.9367816091954023
base,3,0.9693486590038314
base,4,0.9846743295019157
base,5,0.9932950191570882
base,6,0.9971264367816092
base,7,1.0
