top_k,reagent_type,accuracy
1,coarse_solvent,0.5033557046979866
2,coarse_solvent,0.6788111217641419
3,coarse_solvent,0.785234899328859
4,coarse_solvent,0.8763183125599233
5,coarse_solvent,0.9606903163950143
6,coarse_solvent,0.9789069990412272
7,coarse_solvent,0.9789069990412272
8,coarse_solvent,0.9789069990412272
9,coarse_solvent,0.9789069990412272
10,coarse_solvent,0.9789069990412272
1,base,0.7622243528283796
2,base,0.8993288590604027
3,base,0.9443911792905082
4,base,0.9683604985618408
5,base,0.9693192713326941
6,base,0.9693192713326941
7,base,0.9693192713326941
8,base,0.9693192713326941
9,base,0.9693192713326941
10,base,0.9693192713326941
