reagent_type,top_k,accuracy
overall,1,0.4813039309683605
overall,2,0.6308724832214765
overall,3,0.7372962607861937
overall,4,0.8063279002876318
overall,5,0.8590604026845637
overall,6,0.8839884947267498
overall,7,0.8993288590604027
overall,8,0.9204218600191755
overall,9,0.9348034515819751
overall,10,0.9424736337488016
coarse_solvent,1,0.538830297219559
coarse_solvent,2,0.6960690316395014
coarse_solvent,3,0.8187919463087249
coarse_solvent,4,0.8926174496644296
coarse_solvent,5,0.9424736337488016
coarse_solvent,6,0.9664429530201343
coarse_solvent,7,0.9798657718120806
coarse_solvent,8,0.9894534995206136
coarse_solvent,9,0.99712368168744
coarse_solvent,10,0.9980824544582934
base,1,0.8619367209971237
base,2,0.8868648130393096
base,3,0.9060402684563759
base,4,0.9146692233940557
base,5,0.9232981783317353
base,6,0.9376797698945349
base,7,0.950143815915628
base,8,0.959731543624161
base,9,0.9693192713326941
base,10,0.9817833173537871
