top_k,reagent_type,accuracy
1,fine_solvent,0.5220306513409961
2,fine_solvent,0.6676245210727969
3,fine_solvent,0.7318007662835249
4,fine_solvent,0.7931034482758621
5,fine_solvent,0.8237547892720306
6,fine_solvent,0.8639846743295019
7,fine_solvent,0.8888888888888888
8,fine_solvent,0.9032567049808429
9,fine_solvent,0.9137931034482759
10,fine_solvent,0.9281609195402298
1,base,0.7701149425287356
2,base,0.8831417624521073
3,base,0.907088122605364
4,base,0.9204980842911877
5,base,0.9233716475095786
6,base,0.9319923371647509
7,base,0.9396551724137931
8,base,0.9454022988505747
9,base,0.9501915708812261
10,base,0.9578544061302682
1,overall,0.4616858237547893
2,overall,0.5804597701149425
3,overall,0.632183908045977
4,overall,0.6800766283524904
5,overall,0.7155172413793104
6,overall,0.7605363984674329
7,overall,0.7854406130268199
8,overall,0.8017241379310345
9,overall,0.8160919540229885
10,overall,0.828544061302682
