top_k,reagent_type,accuracy
1,coarse_solvent,0.5258620689655172
2,coarse_solvent,0.7068965517241379
3,coarse_solvent,0.8151340996168582
4,coarse_solvent,0.8917624521072797
5,coarse_solvent,0.960727969348659
6,coarse_solvent,0.985632183908046
7,coarse_solvent,0.985632183908046
8,coarse_solvent,0.985632183908046
9,coarse_solvent,0.985632183908046
10,coarse_solvent,0.985632183908046
1,base,0.7691570881226054
2,base,0.8869731800766284
3,base,0.9444444444444444
4,base,0.9616858237547893
5,base,0.9626436781609196
6,base,0.9626436781609196
7,base,0.9626436781609196
8,base,0.9626436781609196
9,base,0.9626436781609196
10,base,0.9626436781609196
