top_k,reagent_type,accuracy
1,coarse_solvent,0.48946360153256707
2,coarse_solvent,0.6886973180076629
3,coarse_solvent,0.8045977011494253
4,coarse_solvent,0.896551724137931
5,coarse_solvent,0.9645593869731801
6,coarse_solvent,0.9808429118773946
7,coarse_solvent,0.9808429118773946
8,coarse_solvent,0.9808429118773946
9,coarse_solvent,0.9808429118773946
10,coarse_solvent,0.9808429118773946
1,base,0.7777777777777778
2,base,0.8975095785440613
3,base,0.9434865900383141
4,base,0.9549808429118773
5,base,0.9559386973180076
6,base,0.9559386973180076
7,base,0.9559386973180076
8,base,0.9559386973180076
9,base,0.9559386973180076
10,base,0.9559386973180076
