reagent_type,top_k,accuracy
overall,1,0.3764367816091954
overall,2,0.5373563218390804
overall,3,0.64272030651341
overall,4,0.7337164750957854
overall,5,0.7911877394636015
overall,6,0.8266283524904214
overall,7,0.8496168582375478
overall,8,0.8706896551724138
overall,9,0.8879310344827587
overall,10,0.9042145593869731
coarse_solvent,1,0.4521072796934866
coarse_solvent,2,0.6302681992337165
coarse_solvent,3,0.7557471264367817
coarse_solvent,4,0.8591954022988506
coarse_solvent,5,0.9204980842911877
coarse_solvent,6,0.9501915708812261
coarse_solvent,7,0.9664750957854407
coarse_solvent,8,0.9741379310344828
coarse_solvent,9,0.9818007662835249
coarse_solvent,10,0.985632183908046
base,1,0.8227969348659003
base,2,0.8419540229885057
base,3,0.853448275862069
base,4,0.8639846743295019
base,5,0.8754789272030651
base,6,0.9022988505747126
base,7,0.9204980842911877
base,8,0.935823754789272
base,9,0.9511494252873564
base,10,0.9588122605363985
